index,topic,count
0,hep-ph,152120
1,math.CO,46634
2,cs.CG,4689
3,physics.gen-ph,9293
4,math.CA,17120
5,math.FA,22734
6,cond-mat.mes-hall,69874
7,gr-qc,83743
8,cond-mat.mtrl-sci,66265
9,astro-ph,105380
10,math.NT,30215
11,math.AG,40838
12,math.AT,11576
13,hep-th,139107
14,math.PR,40862
15,hep-ex,42382
16,nlin.PS,7638
17,physics.chem-ph,14471
18,q-bio.MN,3021
19,math.NA,22133
20,cond-mat.str-el,57849
21,cond-mat.stat-mech,59548
22,math.RA,13138
23,physics.optics,30835
24,physics.comp-ph,14881
25,q-bio.PE,8439
26,q-bio.CB,1732
27,quant-ph,106490
28,q-bio.QM,6607
29,hep-lat,23685
30,nucl-th,47966
31,math.OA,10082
32,math.QA,15998
33,math-ph,62759
34,math.MP,62759
35,nlin.CD,13313
36,physics.plasm-ph,11446
37,physics.space-ph,4171
38,nlin.SI,10054
39,cs.IT,32976
40,math.IT,32976
41,cs.NE,8471
42,cs.AI,25814
43,physics.ed-ph,2798
44,math.DG,32708
45,cond-mat.soft,30763
46,physics.pop-ph,1884
47,cs.DS,16066
48,math.CV,12909
49,math.DS,25866
50,physics.soc-ph,16498
51,nucl-ex,20794
52,math.RT,19779
53,cond-mat.other,13430
54,physics.flu-dyn,17615
55,physics.data-an,7669
56,cs.CE,3788
57,cs.MS,1486
58,cs.NA,8013
59,math.GR,16636
60,cond-mat.supr-con,35749
61,math.AC,9795
62,math.SG,7191
63,cs.CC,7672
64,math.KT,4695
65,math.GT,17765
66,math.AP,42509
67,physics.class-ph,6726
68,q-bio.OT,942
69,physics.bio-ph,11171
70,q-bio.BM,4005
71,nlin.CG,1267
72,cs.DM,9412
73,cs.LO,10997
74,cond-mat.dis-nn,18841
75,math.MG,8187
76,physics.atom-ph,16340
77,math.SP,7396
78,math.ST,15555
79,stat.TH,15555
80,physics.ao-ph,4071
81,physics.ins-det,14890
82,q-fin.CP,1463
83,q-fin.PR,1579
84,physics.geo-ph,4559
85,q-bio.NC,6205
86,q-fin.RM,1499
87,q-bio.SC,1470
88,astro-ph.HE,39395
89,math.OC,27626
90,cs.CR,15409
91,math.CT,5868
92,math.LO,9588
93,cs.NI,14511
94,q-fin.GN,2106
95,q-fin.ST,2555
96,cs.LG,64451
97,cs.PF,2399
98,stat.ME,14488
99,stat.AP,10830
100,math.GM,2900
101,physics.atm-clus,2212
102,cs.SE,7707
103,physics.acc-ph,5877
104,math.GN,3795
105,stat.CO,5110
106,physics.hist-ph,3668
107,cs.AR,1775
108,cs.SC,1733
109,physics.med-ph,3905
110,stat.ML,44574
111,cs.CY,8723
112,cs.IR,8153
113,q-bio.GN,2311
114,cs.CV,45967
115,math.HO,2631
116,cs.OH,1967
117,cs.DB,5360
118,cs.DL,3292
119,cs.HC,6386
120,cs.PL,4908
121,nlin.AO,5523
122,cs.GT,6767
123,cs.DC,12297
124,cond-mat.quant-gas,15652
125,cs.MA,3579
126,cs.CL,21186
127,q-fin.PM,1197
128,cs.MM,2871
129,astro-ph.EP,19150
130,cs.RO,10704
131,econ.EM,1358
132,cs.ET,2065
133,q-bio.TO,1584
134,cs.GL,191
135,astro-ph.SR,44180
136,astro-ph.CO,52003
137,cs.FL,3248
138,cs.OS,576
139,q-fin.TR,1176
140,astro-ph.IM,18472
141,cs.SD,4489
142,cs.GR,2369
143,cs.SY,13196
144,astro-ph.GA,43104
145,cs.SI,12691
146,stat.OT,843
147,physics.app-ph,8372
148,econ.TH,624
149,econ.GN,920
150,q-fin.EC,1489
151,eess.SY,4742
152,eess.IV,7415
153,eess.AS,3935
154,eess.SP,10267
155,q-fin.MF,1497
156,acc-phys,49
157,adap-org,584
158,q-bio,1356
159,cond-mat,14215
160,chao-dyn,2398
161,patt-sol,650
162,dg-ga,732
163,solv-int,1413
164,bayes-an,16
165,comp-gas,221
166,alg-geom,1423
167,funct-an,427
168,q-alg,1578
169,ao-sci,17
170,atom-ph,123
171,chem-ph,251
172,plasm-ph,38
173,mtrl-th,262
174,cmp-lg,894
175,supr-con,175
